"id","name","state_or_province_id","created_at","updated_at","region_id"
594,Fresno ,,2020-03-30 22:11:55.817,2020-03-30 22:11:55.817,
2,Calgary,2,2017-09-19 03:23:14.198,2017-09-19 03:23:14.198,
3,Othaya,3,2017-09-19 03:24:37.839,2017-09-19 03:24:37.839,
4,Burlington,4,2017-09-20 01:28:47.451,2017-09-20 01:28:47.451,
5,Huehuetenango,5,2017-09-20 01:47:05.174,2017-09-20 01:47:05.174,
6,Québec,6,2017-09-20 01:56:06.028,2017-09-20 01:56:06.028,
7,Vancouver,7,2017-09-21 14:09:06.673,2017-09-21 14:09:06.673,
8,Barcelona,8,2017-09-22 01:18:39.566,2017-09-22 01:18:39.566,
9,Florence,9,2017-09-22 01:20:04.761,2017-09-22 01:20:04.761,
10,Toronto,4,2017-09-22 01:20:42.237,2017-09-22 01:20:42.237,
11,Montreal,6,2017-09-22 01:21:04.331,2017-09-22 01:21:04.331,
12,Kochere,,2017-09-22 04:12:11.314,2017-09-22 04:12:11.314,1
13,Ngozi,10,2017-09-22 23:07:04.952,2017-09-22 23:07:04.952,
15,La Plata,11,2017-09-22 23:42:56.114,2017-09-22 23:42:56.114,
16,Chicago,12,2017-09-22 23:46:24.310,2017-09-22 23:46:24.310,
19,Durham,15,2017-09-23 00:06:16.009,2017-09-23 00:06:16.009,
24,Santa Elena,17,2017-09-23 00:20:01.633,2017-09-23 00:20:01.633,
28,San Antonio Huista,5,2017-09-23 00:35:40.911,2017-09-23 00:35:40.911,
29,Portland,21,2017-09-23 09:44:45.924,2017-09-23 09:44:45.924,
30,Guji,,2017-09-23 22:59:38.782,2017-09-23 22:59:38.782,6
31,Nyeri,3,2017-09-27 16:41:12.548,2017-09-27 16:41:12.548,
35,Mairu Kumi,23,2017-09-28 20:35:58.298,2017-09-28 20:35:58.298,
37,NA,,2017-10-13 14:28:50.791,2017-10-13 14:28:50.791,9
38,Antigua Guatemala,25,2017-10-13 14:42:10.699,2017-10-13 14:42:10.699,
39,New York,26,2017-10-13 15:18:13.396,2017-10-13 15:18:13.396,
43,Kahuro,,2017-11-10 03:02:39.317,2017-11-10 03:02:39.317,12
44,San Pedro Necta,5,2017-11-10 03:11:56.362,2017-11-10 03:11:56.362,
45,Sabanilla,29,2017-11-10 03:18:05.470,2017-11-10 03:18:05.470,
46,Pocos De Caldas,30,2017-11-10 03:32:10.158,2017-11-10 03:32:10.158,
47,Hoja Blanca,5,2017-11-10 03:44:35.891,2017-11-10 03:44:35.891,
48,Chimaltenango,31,2017-11-10 04:00:57.575,2017-11-10 04:00:57.575,
49,Dartmouth,32,2017-11-15 02:19:07.937,2017-11-15 02:19:07.937,
50,Santa Maria Yucuhiti,33,2017-11-15 02:46:30.512,2017-11-15 02:46:30.512,
51,Victoria,7,2017-11-15 20:52:21.922,2017-11-15 20:52:21.922,
52,Gathiruini,34,2017-11-15 21:57:13.832,2017-11-15 21:57:13.832,
53,El Cedral,36,2017-11-15 22:27:50.943,2017-11-15 22:27:50.943,
54,Mozonte,37,2017-11-15 22:34:06.107,2017-11-15 22:34:06.107,
55,Unknown,38,2017-11-15 22:59:44.816,2017-11-15 22:59:44.816,
56,Foge,,2017-11-16 23:32:44.087,2017-11-16 23:32:44.087,18
57,Santa Maria Yucuhiti,,2017-11-16 23:34:31.778,2017-11-16 23:34:31.778,19
58,San Lorenzo De Tarrazu,39,2017-11-16 23:47:58.884,2017-11-16 23:47:58.884,
59,San Pedro De Putina Punco,40,2017-11-17 01:26:30.534,2017-11-17 01:26:30.534,
60,Metapan,41,2017-11-17 01:34:18.978,2017-11-17 01:34:18.978,
61,Inza,42,2017-11-17 01:53:13.456,2017-11-17 01:53:13.456,
62,Carmo De Minas,30,2017-11-23 00:18:02.265,2017-11-23 00:18:02.265,
63,El Malacate,5,2017-11-23 00:35:53.722,2017-11-23 00:35:53.722,
64,Werka,43,2017-11-23 18:34:22.180,2017-11-23 18:34:22.180,20
65,El Cielito,36,2017-11-23 18:45:05.027,2017-11-23 18:45:05.027,
66,Concepcion Huista,5,2017-11-23 19:56:37.693,2017-11-23 19:56:37.693,
67,Wakefield,6,2017-11-25 20:21:31.698,2017-11-25 20:21:31.698,
68,Awi,45,2017-11-25 20:24:11.488,2017-11-25 20:24:11.488,
69,Carrillos Altos De Poas,29,2017-11-25 21:50:31.591,2017-11-25 21:50:31.591,
70,Winnipeg,47,2017-11-30 23:32:35.129,2017-11-30 23:32:35.129,
71,La Libertad,5,2017-11-30 23:37:12.804,2017-11-30 23:37:12.804,
72,Villamaria,48,2017-12-01 02:26:27.011,2017-12-01 02:26:27.011,
73,Antigua Guatemala,49,2017-12-01 02:34:41.085,2017-12-01 02:34:41.085,
74,Isnos,11,2017-12-01 23:20:01.734,2017-12-01 23:20:01.734,
