"id","created_at","updated_at","label","description","short_description"
8,2017-09-20 01:49:55.281,2017-09-20 01:49:55.281,Unspecified,,
9,2017-09-21 14:05:37.723,2017-09-21 14:05:37.723,Double Fermentation,,
53,2019-11-17 03:35:28.706,2019-11-17 03:35:28.706,Perla Negra,,
15,2018-08-30 19:01:38.934,2018-08-30 19:01:38.934,Hybrid,,
54,2019-12-27 23:53:11.927,2019-12-27 23:53:11.927,Yeast Fermented Natural,,
55,2020-01-13 17:49:03.199,2020-01-13 17:49:03.199,Reposado,,
56,2020-01-14 18:14:11.643,2020-01-14 18:14:11.643,Sheka Fermentation,,
57,2020-01-16 20:02:06.361,2020-01-16 20:02:06.361,Wet Hulled Honey,,
1,2017-09-19 00:17:24.613,2020-04-30 19:07:44.153,Wet/Washed,"The washed process is commonly found in most of the world's coffee producing regions. Also known as wet process, it offers a consistent solution for processing coffee cherries. The washed process is separated into 3 main stages (rinsing, depulping, fermentation), as well as one or several stages of washing. In the cup, washed coffees are prized for their clarity in flavour.

On the farm, coffee cherries are handpicked once they have achieved peak ripeness. Once collected, the coffee is rinsed, and the farmer performs a first quality check. Floaters are often sorted out at this step, as this characteristic can be a sign of unripeness and defects. Following this step, the whole coffee fruit is put through a depulper. A depulper separates the seed of the fruit (also known as the coffee bean) from its outer layer, which is called the pulp. The pulp is either discarded, or kept aside for other uses, such as being repurposed as compost.

At this stage, the coffee seed still has mucilage on it. Mucilage is a sticky, sugary layer that is difficult to remove from the coffee seed. In order to remove it, the coffee seeds undergo a fermentation stage. Fermentation happens in all processing methods. In the washed process, it is used to soften the miculage, making it easier to remove. The fermentation stage occurs in large tanks, usually found in a shaded area. On farms with higher end equipment, these tanks can be humidity and temperature controlled for better consistency. It is only after about 12 to 24 hours of fermentation -- once the seeds are no longer sticky from the mucilage -- that the washing stage begins

During the washing stage, the coffee is submerged in fresh water. While submerged, it is agitated, leaving the seed clean in its parchment layer. The resulting water, which is murky from the mucilage it contains, is drained and safely discarded. The washing process is often repeated several times. Every time it is repeated, more of the mucilage is removed, and the resulting seed is left even cleaner. Coffees referred to as double washed simply go through the washing stage twice. 

It is important to note that the washing process is incredibly water intensive and with more repetition of the washing stage comes more water usage. For this reason, washing is often limited to one to three repetitions, even as some murkiness can remain after even more stages.

After being washed, the seeds and their parchment is then put out to dry and regularly tossed, a process that lasts anywhere from 10 to 20 days. Once the seeds have reached an internal moisture of about 11%, they are then sent to a dry mill, where the parchment is removed and the coffee is stored until is is ready for export.

It's important to note that processing wildly differs from region to region. In some countries, most notably in Africa, farmers will bring their whole coffee fruits to washing stations to be processed. In other regions, the coffee is processed directly on the farm. This explanation of washed coffee is meant to explain the general concept and might differ from the exact methods used on the farm or washing station pertaining to the coffee you are browsing.","The washed process consists of rinsing, depulping, fermentation and one or several stages of washing. The fermentation process will generally last between 24 and 48 hours. This water intensive process is known for bringing out the true flavor of the bean."
2,2017-09-19 00:17:24.618,2020-04-30 19:07:44.162,Dry/Natural,"Also known as Natural coffee processing, Dry Processing is the oldest of all modern coffee processing methods. It is common especially in Brazil and Ethiopia, but has gained traction over the world as producers are attracted to both the taste characteristics it can bring to their coffee and the reduced water usage when compared to the washed process. In this processing method, 

On the farm, coffee cherries are handpicked once they have achieved peak ripeness. Once picked, cherries are cleaned and sorted. At this stage, any over-ripe, under-ripe, or defective fruits are sorted out. 

Then, the whole cherries are laid out to dry. During the drying phase, fermentation occurs in the fruit, giving this type of coffee the taste it is known for: bold fruit flavours, and a slight boozyness.  Throughout the process, the cherries are constantly monitored, as any mold occurance could severely affect the taste of the final product. 

In some cases, cherries are separated depending on which stage of drying they are at and will be transported to another surface at each of these stages. This is done to increase uniformity and control of the drying process.

Once the fruit have reached an internal moisture of about 11%, they are sent to a dry mill. There, they are put through a hulling machine, which separates the seed from the fruit and its parchment. Once the seeds are separated, they are bagged and readied for shipment.

As with all processing methods, the process can vary quite a bit from region to region. To accellerate the drying, some producers will put the coffee through a mechanical dryer, though this is not common in specialty coffee. A common practice however is to use a mechanical dryer to execute a fraction of the drying process.",The dry process consists of drying and concurrent fermentation. The fermentation of the fruit while still on the bean creates bold fruity and slightly boozy flavors.
