"id","label","created_at","updated_at"
1,Unknown,2017-11-15 02:26:46.521,2017-11-15 02:26:46.521
2,Raised Bed,2017-11-23 18:43:44.259,2017-11-23 18:43:44.259
3,Covered Raised Bed,2018-08-06 23:37:42.828,2018-08-06 23:37:42.828
4,Sun Dried,2018-08-15 17:47:48.804,2018-08-15 17:47:48.804
6,Parabolic Beds,2018-08-23 18:39:12.828,2018-08-23 18:39:12.828
7,Hopper Dried,2018-09-04 14:42:40.516,2018-09-04 14:42:40.516
8,Lattice Dried,2018-09-04 15:07:30.060,2018-09-04 15:07:30.060
9,Concrete Patio,2018-09-06 14:49:01.853,2018-09-06 14:49:01.853
10,Shade Dried Beds,2018-10-09 23:54:05.486,2018-10-09 23:54:05.486
11,Metal Drying Tables,2018-12-04 01:49:14.937,2018-12-04 01:49:14.937
12,Ventilated Greenhouse ,2018-12-17 16:39:23.116,2018-12-17 16:39:23.116
13,Mechanically Dried,2018-12-20 17:58:00.539,2018-12-20 17:58:00.539
5,African Beds,2018-08-20 15:53:07.815,2019-01-23 02:19:41.265
14,Traditional Rooftop Dried,2019-02-11 03:24:25.228,2019-02-11 03:24:25.228
15,Swiss Water® Process,2019-02-25 14:04:08.429,2019-02-25 14:04:08.429
16,Open Air Patio,2019-04-05 19:20:53.091,2019-04-05 19:20:53.091
17,Silo Drying,2019-04-12 04:08:14.771,2019-04-12 04:08:14.771
18,De Humidified Structure,2019-05-03 15:15:14.620,2019-05-03 15:15:14.620
19,Solar Dryers ,2019-05-13 16:43:18.655,2019-05-13 16:43:18.655
20,Dried On Patios,2019-07-24 18:10:11.090,2019-07-24 18:10:11.090
21,Slow Dried In Guardiola,2019-08-05 21:08:11.437,2019-08-05 21:08:11.437
22,Dried On Bamboo Beds,2020-01-05 13:41:44.957,2020-01-05 13:41:44.957
23,Combination Of Patio And Mechanical Drying,2020-06-10 14:55:33.019,2020-06-10 14:55:33.019
24,Dried On Raised Beds For 12 20 Days,2020-09-12 22:20:16.127,2020-09-12 22:20:16.127
25,Washed & Dried On Raised Beds For 12 20 Days.,2020-11-01 23:09:59.125,2020-11-01 23:09:59.125
26,"Home Processed; Cherries Are Pulped, Dry Fermented 30 Hours & Washed Before Drying On Raised Beds. ",2021-01-04 12:02:37.681,2021-01-04 12:02:37.681
