"id","review_text","rating","product_release_id","body_intensity","acidity_intensity","sweetness_intensity","finish_intensity","created_at","updated_at"
1,"Delicious, well balanced and produces a clean cup!

Brewed in a V60, 1:16 ratio (16g coffee, 255ml water) @ 3min total brew.",3.5,182,0.0,0.0,0.0,0.0,2018-09-03 21:47:40.987,2018-09-03 21:47:40.987
2,"A well rounded espresso that plays well with milk drinks. Great in a cappuccino or latte. If you’re looking for a more classic flavour in your cold brew, this is a good choice, too!",3.0,86,0.0,0.0,0.0,0.0,2018-09-04 11:54:24.758,2018-09-04 11:54:24.758
3,"Blew my mind as a V60. One of the better coffees I’ve had in a long time. Tons of green apple and citrus bursting out of the cup. A lingering chocolate and honey finish. Well rounded, bright and delicious.

Recipe: 

1:16.5 (16g coffee, 265ml water), 60g bloom for 45sec, 3:30min total brew time. Grinder at 15 using a Baratza Encore.",4.5,128,0.0,0.0,0.0,0.0,2018-09-04 13:51:30.692,2018-09-04 13:51:30.692
4,"Very clean cup. A nice tea-like finish with a rounded front. Easy to drink and would definitely be a daily driver you won’t get tired of drinking.

Recipe:

Brewed in a v60, 1:17 (16g coffee, 272ml water), 60g bloom for 30 seconds with 3 minute total brew time.",3.5,131,0.0,0.0,0.0,0.0,2018-09-04 14:24:10.977,2018-09-04 14:24:10.977
5,"Very interesting bag! The lemon came through strong in my chemex. Would buy a bag again in the future!
",4.0,124,0.0,0.0,0.0,0.0,2018-09-05 14:41:26.499,2018-09-05 14:41:26.499
9,"",4.0,241,0.0,0.0,0.0,0.0,2018-09-18 03:50:32.817,2018-09-18 03:50:32.817
11,"An amazing balance between fruity and chocolatey flavours. Great for when you’re not sure what you’re feeling more of!

V60 Brew Recipe:

16g : 255ml, 60ml bloom for 30 sec, 4 ~50ml pours, total brew time 3:30.

Grinder: Baratza Encore @ 15
Water temp: 90c",3.5,141,0.0,0.0,0.0,0.0,2018-09-18 13:55:54.405,2018-09-18 13:55:54.405
12,"This blend really hits hard! Great as a double shot or in a cortado & flat white. The acidity and richer, nuttier flavours play so well together. One of the better blends I’ve had in a while! Ritual rarely disappoints 😬",4.0,329,0.0,0.0,0.0,0.0,2018-09-18 14:02:36.569,2018-09-18 14:02:36.569
13,"",4.0,182,0.0,0.0,0.0,0.0,2018-09-19 19:08:30.977,2018-09-19 19:08:30.977
14,Great as a batch brew or in the V60,4.5,183,0.0,0.0,0.0,0.0,2018-09-19 19:10:16.084,2018-09-19 19:10:16.084
