"product_release_id","roaster_tasting_notes","user_review_tasting_notes"
1,"{94,88,97}",
5,"{99,92,188}",
16,,"{5,6,93}"
30,,{17}
38,,"{165,90,101}"
39,,{93}
48,,"{183,42,51}"
61,,"{90,93,85,86}"
75,,{5}
80,"{93,91,19}",
81,"{10,22,76}",
82,"{4,91,93}",
83,"{87,171}",
84,"{1,99}",
85,"{17,171}",
86,"{87,7,96}","{74,75,84,94}"
87,"{105,7}","{6,109}"
88,"{10,12,96}",
89,"{1,105}",
90,"{79,95,14}",
91,"{10,91,107}",
92,"{99,22,8,2,105,1}",
96,"{6,10,22,100,106}",
97,"{10,97,122,171}",
98,"{79,8,91,122}",
99,"{10,12,99}",
100,"{4,23,93}",
101,"{10,107}",
102,"{4,107}",
103,"{10,106}","{126,130,106}"
104,"{1,107}","{8,15,100}"
105,"{10,84}","{174,203,90}"
106,"{19,99}",
107,"{10,93}","{93,97,100,122}"
109,"{1,105}","{89,90,91,93,94}"
110,"{95,10}",
111,"{68,91,94,99}",
112,"{1,105,10,91}",
113,"{17,20,110}",
114,"{105,19}",
115,"{10,12,99}",
116,"{1,10,12,22}",
117,"{21,99}",
118,"{1,2,21,105}",
119,"{110,105,101,95,17,1}",
120,"{16,99,106}",
122,"{17,3}",
123,"{16,84,23,90}",
124,"{1,7,43,47,79,101,105,110}",{22}
125,"{4,10,110}","{4,13}"
126,"{110,106,17,22}",
127,"{26,19,2}",
128,"{93,16}","{16,23,93,100,180,93,99,206}"
129,"{30,3,2,22}",
130,"{10,19,100}",
131,"{8,16,99}","{8,9,33,110}"
132,"{92,99}","{93,12,94,99,84}"
133,"{107,106,10}",
134,"{1,95,101,7,33,171,171}",
135,"{22,4,171}","{4,22,3,13,109,91,20,30,22,20,21}"
136,"{12,99,88,94}",
137,"{6,10}","{4,6,20,6,17,94,174,6,17,101,185,186,198,6}"
138,"{12,99}","{185,188,93,99}"
139,"{19,93}","{21,93,100,96}"
140,"{10,96}","{123,132,176,106}"
141,"{21,17,10,88}","{17,12,17,75,94}"
142,"{16,92}","{12,23,168,172,23,206}"
143,"{91,92,99}",
144,"{94,91,99}",
145,"{10,96,97,93}",
146,"{7,93,99,10}",
147,"{2,19,109}",
148,"{6,23,10,15}",
149,"{94,92,20}",
150,"{12,96,99,92}",
151,"{12,94,88}",
152,"{2,94,99}",
153,"{92,10,23}",
154,"{23,100,2}",
155,"{6,3,10}","{8,13,93,17,93,100}"
156,"{93,2,10}",
157,"{2,88,99,93}",
158,"{10,15,99}","{9,91,97}"
159,"{10,99}",
160,"{99,93}",
161,"{97,94}",
162,"{19,23,3}","{3,199,3,23}"
163,"{22,19,10,94}",
164,"{19,76,100}",
165,"{23,10,93}",
166,"{2,5,99}",
167,"{17,10,47}",
168,"{5,12,99,95}",
169,"{89,88,87,92,10}",
170,"{15,122,94,16}",
171,"{6,106}",
172,"{19,2}",
173,"{19,96,91,88}",
174,"{96,22}",
175,"{22,105,107,10}","{17,100}"
176,"{17,106,10}",
177,"{96,95}",
178,"{6,21,10,101}","{6,17}"
179,"{96,88,81}",
180,"{93,10,94}",
182,"{94,11,12}","{11,12,94,3,22,93,110,9,12,94}"
183,"{15,90,99,33}","{93,97,93,99,15,90,99,8,11,20,90,93,100}"
184,"{106,19,22}",
185,"{91,99,90,93}",
186,"{10,2,79,99}",
187,"{99,20,101,10}",
188,"{22,93,15}","{5,8,12,22,93}"
189,"{17,100,74}","{9,17,75,90,91,93,94,99,100}"
190,"{10,100}","{4,23,94,106}"
191,"{17,96,93,95}",{17}
192,"{99,93,90}","{168,90}"
193,"{79,93,16}",
194,"{2,10,105}",
195,"{110,23}",
196,"{21,110,19}",
197,"{2,95}",
198,"{101,79}",
199,"{106,10}",
200,"{1,105}","{12,74,30,90,91,94,84}"
201,"{92,93,97}","{74,75,94}"
202,"{18,106}",{18}
203,"{17,110}","{17,18,109,9,22,186,17}"
204,"{19,12,21,99,95}","{12,21,174,21,22}"
205,"{93,90,10}",
206,"{17,110,100}","{126,181,17,12,100,110}"
207,"{93,3,100,15}",
208,"{12,92,18,88,87}",
209,"{12,91,96}",
210,"{17,3,105}",
211,"{3,17,105}",
212,"{4,10,93}","{4,18}"
213,"{4,10,93}",
214,"{95,22,99,94}",
215,"{22,95,99,94}",
216,"{15,99,95,91}","{74,91}"
217,"{15,91,95,99}","{91,94,97}"
218,"{12,21,94}",
219,"{12,21,94}",
220,"{17,10,100,95}","{126,100}"
221,"{6,105,95,100}","{6,100,4,6,17}"
222,"{23,19,88,95}",
223,"{10,93,6}",
224,"{12,91,16}",
225,"{13,10,95}",
226,"{3,17,96,106}",
227,"{15,95,10,17}",
228,"{110,183,106}",
229,"{19,23,95}",
230,"{106,3,19,21,101}",
231,"{6,105,100}",
232,"{91,96,21,19,171}","{100,122}"
233,"{16,99,100,95}",
234,"{95,101,17}",
235,"{6,15,94}","{4,94}"
236,"{15,19,106}",
237,"{107,19,95}",
238,"{10,100,91}","{161,91,100}"
239,"{90,99,17}",
240,"{10,21,95}","{123,130,147,170}"
241,"{2,93,89}","{89,94}"
242,"{22,95,105}",
243,"{100,99,105,95}",
244,"{20,2}",
245,"{93,95,23,19}",
246,"{16,100,99}",
247,"{1,19,105}",
249,"{22,105}",
250,"{19,22,105}",
251,{2},
252,"{16,22,79}",
253,{92},
254,"{85,96,79}",
255,"{6,5,93}",
256,"{10,91,99,105}",
257,"{92,2,10}","{4,6,12,20,4,97}"
258,"{10,99,16,95}",
259,"{83,7,10}",
260,"{91,99,8}",
261,"{16,10,99,95}",
262,"{3,91,99,105,19}","{124,166,169,5,21}"
263,"{19,95,105,99}",
264,"{91,105}","{15,110,109}"
265,"{15,105,93}","{93,106}"
266,"{88,10,12}","{187,188,5,96}"
267,"{10,99}",
268,"{10,95}",
269,"{17,105,106}","{130,187,109,17,110,100}"
270,"{99,10,7}",
271,"{100,95,22}",
272,"{106,10,3}",
273,"{10,94,15}","{15,94,15,94}"
282,"{1,88,93}","{12,93}"
283,"{15,19,93}",
284,"{93,91,23,95}",
285,"{93,10,85}",{93}
286,"{96,64,95,107}",
287,"{95,8,92}",
288,"{93,99,22}",
289,"{1,99,106}",
290,"{1,19,3}",
291,"{100,96,101}",
292,"{20,10,96}",
293,"{10,8,95,93}",
294,"{96,12,15}","{9,97}"
295,"{92,93}",
296,"{95,97,19}",
297,"{100,97,20}",
298,"{99,93,91,90}",
299,"{22,99,105}",{30}
300,"{99,88,93}",
301,"{19,105}",
302,"{97,92}","{161,12,93}"
303,"{1,93}",
304,"{94,74}",
305,"{88,95}","{90,93,84}"
306,"{21,10,19,94}",
307,"{93,99,21,95}",
308,"{93,90,91}",
309,"{6,2,105}","{6,17,4,12,100}"
310,"{93,10,2}",
311,"{88,93,30}",
312,"{6,9,93}",{93}
313,"{16,96,88}",
314,"{99,94}",
315,"{74,93,81,101}",
316,"{21,93,91}","{155,170,179,11,94,62}"
317,"{86,81,93,97}","{74,94,155,170,81}"
318,"{5,19,22,110}",
319,"{2,93}",
320,"{91,93,99,21}",
321,"{94,3,100,15}",
323,"{5,33,93,19}",
324,"{94,12}",
325,,"{93,22,99,97,99,85,21,22,93,97,99}"
326,"{99,22,17,105}","{186,106}"
327,"{92,99,10}",
328,"{94,99}","{74,75,94}"
329,"{105,93,101,96,12,23}","{12,23,90,93}"
330,"{10,2,95}",
331,"{16,105,6,22}",
332,"{22,23,100,99,77}",
333,"{3,22,2}",
334,"{15,10,95}",
335,"{10,17,93,12}",
336,"{10,22,101}",
337,"{106,14,19}","{130,6,33,91}"
338,"{16,100,93,76}",
339,"{10,12,93}",
340,"{3,12,19}","{183,187,3,209}"
341,"{17,23,105}",
342,"{10,93}",
343,"{10,12,93}",
344,"{91,100,12}",
345,"{17,100,106}","{17,100,13,17,89,83,17,100}"
346,"{10,21,96}","{21,30,99,21,100,11,21,90,91,93,23,97}"
347,"{13,15,91}",
348,"{19,2,95}",
349,"{99,88,1}",
350,"{96,74,94}",
351,"{94,91,100}",
352,"{10,105,17}",
353,"{10,6,4}","{6,17,16,17,43,110}"
354,"{2,91}","{186,4,91,93,101}"
355,"{101,105,10}",
356,"{106,22,19,17}","{20,22}"
357,"{99,10,106}",
358,"{12,5,110}",
359,"{105,10,22}",
360,"{91,2,94}",
361,{1},
362,"{10,6,93}","{180,6,204}"
363,"{10,96}",
364,"{100,21}",
365,"{23,10}",
366,{3},
367,"{105,94}",
368,"{3,93}",
369,"{101,17}",
370,"{17,105}",
371,"{19,10,110}",
372,"{19,17,20,93}","{15,93}"
373,"{10,105}",{17}
374,"{10,4}",
375,"{3,10,23}","{4,23}"
376,"{19,15,91}",
377,"{17,19,106}",
378,"{6,94,4}",
379,"{94,19,3}","{3,12,15,5,147,170,199,6,23}"
380,"{171,101,10,5}","{173,177,5,110,5,110,127,176,5,101}"
381,"{21,90,99}",
382,"{7,90,94}",
383,"{99,19}",
384,,"{123,130,169,6,90,106,209}"
385,"{3,20}","{5,17,14,20,5,11,20,43,100}"
386,"{93,97}",
387,"{93,96}","{169,181,96,106,93,96,174,93}"
388,"{4,107}","{126,178,188,4,101,4,5,97,169,11,204,96,22,109,4,22,176,177,202,4}"
389,"{96,10}","{14,99}"
391,"{2,94,21,107}",
392,"{99,88,21,71}",
393,"{94,74}",
394,"{93,17,6}",
395,,"{75,90}"
396,"{22,23,15,99}",
397,"{20,105,99}",
398,"{5,4}",
399,"{12,10,100}",
400,"{5,93,95}",
401,"{93,22,23,101,122}","{93,100,169,176}"
402,"{10,95,19}",
403,"{16,7}",
404,"{94,100,15}",
405,"{94,96,13}","{8,74,75,62,94}"
406,"{95,88}",
407,"{12,17}",
408,"{81,83}",
409,"{2,100}",
410,"{15,105,95}",
411,"{1,8}","{12,74,75,62,94}"
412,{171},
413,"{10,21,93}",
414,"{17,85,95}","{186,193,194,17,8}"
415,"{99,16}",
416,"{94,91,89}","{164,169,99}"
417,"{18,99}","{165,166,168,180,186,165,21}"
418,"{12,33,7}",
419,"{171,91,94,4,17}","{4,17,91}"
420,"{8,100}",
421,"{3,10}",
422,"{15,99}",
423,"{16,10}",
424,"{10,22}",
425,"{107,10}",
426,"{10,100}",
427,"{10,101}","{6,100}"
428,"{2,16,15}",
429,"{95,7,88}","{180,91}"
430,"{99,88,170,82}",
431,"{97,17,107}",
432,"{107,22}",
433,"{100,19,91}",
434,"{10,11}",
