"id","product_release_id","cleaning_process_id","drying_process_id","variety_id","coffee_region_id","producer_id","farm_id","washing_station_id","coop_id","altitude_start","altitude_end"
277,1,8,1,42,3,4,10,5,12,950,1800
321,1,3,1,43,39,5,48,5,12,1000,1220
9,2,2,1,71,1,6,,,,1800,2100
2661,3,1,1,40,483,89,12,5,12,1760,1840
13,4,1,1,4,5,4,,,,1700,1900
412,5,1,1,9,6,8,10,5,12,1300,1600
413,5,1,1,8,6,8,10,5,12,1300,1600
433,6,1,1,9,7,9,10,5,12,1700,2000
434,6,1,1,6,7,9,10,5,12,1700,2000
18,7,1,1,4,8,1,,,,0,0
19,8,1,1,42,8,1,,,,0,0
20,9,1,1,42,9,1,,,,0,0
23,10,1,1,42,12,1,,,,0,0
22,10,1,1,42,11,1,,,,0,0
21,10,1,1,42,10,1,,,,0,0
25,11,1,1,42,14,11,,,,0,0
24,11,1,1,42,13,10,,,,0,0
28,12,1,1,42,17,14,,,,0,0
27,12,2,1,42,16,13,,,,0,0
26,12,1,1,42,15,12,,,,0,0
29,13,1,1,42,18,15,,,,0,0
2539,14,2,1,71,16,16,10,5,12,1900,2200
34,15,1,1,31,20,17,,,,1890,1890
33,15,1,1,38,20,17,,,,1890,1890
32,15,1,1,37,20,17,,,,1890,1890
35,16,2,1,71,21,18,,,,1800,1900
1433,17,1,1,37,310,89,12,5,98,1700,1800
1434,17,1,1,38,310,89,12,5,98,1700,1800
38,18,1,1,4,23,1,,,,1818,1818
41,19,1,1,31,24,20,,,,2100,2100
40,19,1,1,38,24,20,,,,2100,2100
39,19,1,1,37,24,20,,,,2100,2100
42,20,1,1,71,19,1,,,,1800,2000
53,21,1,1,31,20,17,,,,1800,2000
52,21,1,1,38,20,17,,,,1800,2000
51,21,1,1,37,22,21,,,,1800,2000
57,22,1,1,9,25,23,,,,900,1600
56,22,1,1,8,25,23,,,,900,1600
55,22,1,1,4,25,23,,,,900,1600
54,22,1,1,40,25,23,,,,900,1600
58,23,1,1,21,26,24,,,,0,1800
62,24,1,1,9,29,27,,,,1500,1500
63,25,1,1,71,30,28,,,,2000,2350
65,26,1,1,15,31,4,,,,1520,1520
64,26,1,1,7,31,4,,,,1520,1520
69,27,1,1,8,33,30,,,,1200,1800
68,27,1,1,4,33,30,,,,1200,1800
6,28,1,1,9,97,3,10,5,12,1500,1900
5,28,1,1,62,97,3,10,5,12,1500,1900
10,29,9,1,42,2,2,,,,1830,1950
11,30,2,1,71,4,1,,,,1850,2200
30,31,2,1,71,19,1,,,,1800,1950
67,32,1,1,38,32,29,,,,1200,1800
66,32,1,1,37,32,29,,,,1200,1800
71,33,7,1,8,34,58,26,,,1300,1500
70,33,7,1,9,34,58,26,,,1300,1500
73,34,1,1,8,35,32,,,,1500,1700
72,34,1,1,9,35,32,,,,1500,1700
75,35,2,1,8,36,33,,,,1400,1600
74,35,2,1,4,36,33,,,,1400,1600
279,36,8,1,42,37,1,10,5,12,1500,1800
280,36,8,1,42,38,1,10,5,12,1500,1800
281,37,8,1,42,39,5,10,5,12,0,0
282,37,8,1,42,3,4,10,5,12,0,0
81,38,1,1,9,304,34,,,,1700,1700
80,38,1,1,4,304,34,,,,1700,1700
82,39,2,1,43,41,35,,,,1250,1250
84,40,2,1,8,37,37,,,,1200,1500
83,40,1,1,4,42,36,,,,1200,1500
85,41,1,1,71,19,1,1,,,1900,2200
87,42,1,1,40,43,1,2,,,1700,1900
86,42,1,1,4,43,1,2,,,1700,1900
89,43,1,1,30,42,1,3,,,2025,2025
88,43,1,1,4,42,1,3,,,2025,2025
91,44,8,1,37,44,39,5,,,1920,1920
90,44,8,1,38,44,39,5,,,1920,1920
2093,45,1,1,8,45,395,6,5,12,1400,1400
2094,45,1,1,49,45,395,6,5,12,1400,1400
95,46,8,1,28,46,40,7,,,1450,1750
94,46,8,1,4,46,40,7,,,1450,1750
99,47,8,1,42,48,1,10,,,0,0
102,48,1,1,50,50,4,10,,,1750,1900
101,48,1,1,40,50,4,10,,,1750,1900
100,48,1,1,4,50,4,10,,,1750,1900
407,49,4,1,8,51,42,13,5,12,1900,1900
107,50,1,1,9,52,43,10,,,1500,1500
106,50,1,1,40,52,43,10,,,1500,1500
105,50,1,1,4,52,43,10,,,1500,1500
110,51,1,1,4,53,4,12,,,1150,1700
109,51,1,1,51,53,4,12,,,1150,1700
108,51,1,1,9,53,4,12,,,1150,1700
111,52,1,1,9,54,4,14,,,1600,1600
103,53,2,1,71,49,1,11,,,1780,1860
98,54,8,1,40,43,1,9,,,0,0
97,54,8,1,4,43,1,9,,,0,0
96,55,8,1,9,47,41,8,,,0,0
148,56,1,1,9,56,46,16,,,1800,1800
147,56,1,1,8,56,46,16,,,1800,1800
146,56,3,1,43,55,45,15,,,1300,1300
151,57,1,1,4,304,48,17,,,1900,1900
150,57,1,1,9,304,48,17,,,1900,1900
149,57,1,1,71,57,,10,1,,1900,2050
152,58,1,2,51,58,49,18,,,1500,1600
156,59,1,1,30,59,,10,,1,1800,1800
155,59,1,1,9,59,,10,,1,1800,1800
154,59,1,1,4,59,,10,,1,1800,1800
153,59,1,1,8,59,,10,,1,1800,1800
157,60,1,1,9,60,4,12,,,1200,2000
158,60,1,1,6,60,4,12,,,1200,2000
168,61,8,1,42,63,1,10,,,0,0
167,61,8,1,42,15,1,10,,,0,0
166,61,8,1,42,16,1,10,,,0,0
1686,62,1,1,4,66,89,12,110,12,1900,2100
177,63,1,1,54,38,54,23,,,1725,1725
180,64,1,1,56,67,1,10,,,1600,1600
179,64,1,1,9,67,1,10,,,1600,1600
178,64,1,1,8,67,1,10,,,1600,1600
184,65,1,1,40,68,55,24,,,1200,1200
183,65,1,1,4,68,55,24,,,1200,1200
182,65,1,2,9,68,55,24,,,1200,1200
189,66,1,1,4,70,,12,,4,1600,1800
188,66,1,1,30,70,,12,,4,1600,1800
187,66,1,1,40,70,,12,,4,1600,1800
181,67,8,1,42,1,1,10,,,0,0
186,68,1,1,8,69,1,10,,,1750,1750
185,68,1,1,9,69,1,10,,,1750,1750
174,69,1,2,9,65,52,21,,,1650,1650
173,69,1,2,4,65,52,21,,,1650,1650
175,69,2,1,71,19,13,22,,,2000,2300
172,70,8,1,55,64,4,12,,,1650,1800
171,70,8,1,31,64,4,12,,,1650,1800
170,70,8,1,38,64,4,12,,,1650,1800
169,70,8,1,37,64,4,12,,,1650,1800
4145,71,14,1,51,62,705,20,5,12,1200,1300
4146,71,14,1,52,62,705,20,5,12,1200,1300
4147,71,14,1,4,62,705,20,5,12,1200,1300
4148,71,14,1,15,62,705,20,5,12,1200,1300
4149,71,14,1,53,62,705,20,5,12,1200,1300
4150,71,14,1,54,62,705,20,5,12,1200,1300
159,72,2,1,71,61,,19,,2,1700,1900
3,73,1,1,38,2,2,,,,1847,1847
4,73,1,1,37,2,2,,,,1847,1847
112,74,1,1,71,19,44,12,,,1900,2200
190,75,1,1,71,71,1,10,,,2000,2000
191,76,1,1,9,72,1,12,,,1650,1700
195,77,1,1,27,47,1,12,,,1450,1700
194,77,1,1,7,47,1,12,,,1450,1700
193,77,1,1,51,47,1,12,,,1450,1700
