"id","created_at","updated_at","name","label","website","iana_timezone"
151,2019-09-04 16:59:49.136,2019-09-04 17:03:22.466,hasbean,Hasbean,https://www.hasbean.co.uk,
25,2017-11-25 20:21:31.675,2019-12-18 19:49:53.800,bluebarn,Bluebarn,https://bluebarncoffeeroasters.com/,America/Toronto
183,2019-10-31 23:49:08.457,2019-12-20 16:00:00.351,senzu coffee roasters,Senzu Coffee Roasters,https://senzucoffee.com,
34,2018-01-04 21:56:06.817,2020-04-07 19:52:35.347,kittel atelier de cafe,Kittel Atelier De Cafe,https://kittelcoffee.com/,America/Montreal
28,2017-12-23 01:35:38.626,2020-04-13 20:03:05.287,de mello palheta,De Mello Palheta,https://www.hellodemello.com/,America/Toronto
21,2017-11-15 02:19:07.924,2020-04-13 22:42:45.404,anchored coffee,Anchored Coffee,https://anchoredcoffee.com,America/Halifax
2,2017-09-20 01:28:47.441,2021-01-01 21:25:54.483,detour coffee roasters,Detour Coffee Roasters,https://detourcoffee.com/,America/Toronto
44,2018-09-04 14:24:40.273,2018-09-14 01:58:25.090,faro roasting house,FARO Roasting House,https://farocoffee.com/,America/Toronto
23,2017-11-15 20:53:01.043,2018-09-14 01:32:07.572,bows and arrows coffee roasters,Bows And Arrows Coffee Roasters,https://bowsandarrowscoffee.com,America/Vancouver
1,2017-09-19 03:23:14.166,2018-09-14 02:34:58.814,phil & sebastian,Phil & Sebastian,https://philsebastian.com/,America/Edmonton
4,2017-09-21 14:09:06.667,2018-08-16 01:46:23.799,"49th parallel","49th Parallel",https://49thcoffee.com/,
43,2018-09-02 14:14:24.053,2018-09-14 02:40:03.831,square mile coffee roasters,Square Mile Coffee Roasters,https://shop.squaremilecoffee.com/,America/Toronto
24,2017-11-16 23:42:07.428,2018-09-14 01:19:00.495,saint-henri micro torrefacteur,Saint-Henri Micro Torrefacteur,https://www.sainthenri.ca,America/Toronto
39,2018-04-15 23:44:50.719,2018-09-14 01:22:30.724,"94 celcius","94 Celcius",https://94celcius.com,
20,2017-10-13 15:18:13.388,2018-09-14 01:41:28.857,city of saints coffee roasters,City Of Saints Coffee Roasters,https://www.cityofsaintscoffee.com/,America/Toronto
13,2017-09-23 00:06:16.002,2018-09-14 01:44:43.745,counter culture,Counter Culture,https://www.counterculturecoffee.com,America/Toronto
29,2017-12-31 18:45:43.279,2018-12-20 16:20:47.821,laughing whale,Laughing Whale,http://www.laughingwhalecoffee.com/,
26,2017-11-30 23:32:35.106,2018-09-14 01:56:42.982,dogwood canada,Dogwood Canada,https://dogwoodcoffee.ca/,America/Chicago
47,2018-09-13 15:44:34.426,2018-09-14 02:00:23.288,firebat coffee,Firebat Coffee,https://firebatcoffee.com/,
31,2018-01-01 23:44:50.318,2018-09-14 02:03:33.990,fratello,Fratello,http://www.fratellocoffee.com/,America/Edmonton
40,2018-05-23 12:18:20.720,2018-09-14 02:08:31.889,fuglen coffee roasters,Fuglen Coffee Roasters,https://fuglencoffee.com,America/Toronto
12,2017-09-22 23:46:24.303,2018-09-14 02:17:39.987,intelligentsia,Intelligentsia,https://www.intelligentsiacoffee.com,America/Chicago
36,2018-04-15 23:36:11.000,2018-09-14 02:54:41.950,brio coffeeworks,Brio Coffeeworks,https://briocoffeeworks.com,America/Toronto
6,2017-09-22 01:19:26.832,2019-01-09 03:01:16.292,right side coffee roasters,Right Side Coffee Roasters,https://www.rightsidecoffee.com/,
8,2017-09-22 01:20:20.273,2019-01-09 03:07:50.371,slowmov,SlowMov,https://slowmov.com/en/,
33,2018-01-04 21:44:12.265,2019-01-09 03:19:17.968,milano coffee,Milano Coffee,http://www.milanocoffee.ca,America/Vancouver
27,2017-12-01 01:29:05.452,2018-09-14 02:12:01.129,hale coffee,Hale Coffee,https://www.halecoffee.com/,America/Toronto
17,2017-09-25 01:04:27.947,2018-09-14 02:36:42.154,pilot,Pilot,https://www.pilotcoffeeroasters.com,America/Toronto
38,2018-04-15 23:39:51.090,2018-09-14 02:53:09.375,structure coffee roasters,Structure Coffee Roasters,https://structurecoffeeroasters.com,America/Montreal
152,2019-09-06 16:36:03.101,2019-09-06 16:37:06.740,pablo and rustys,Pablo and Rustys,https://shop.pabloandrustys.com.au,
48,2018-09-15 20:23:47.086,2019-07-27 18:21:03.041,reunion coffee roasters,Reunion Coffee Roasters,https://reunioncoffeeroasters.com,America/Toronto
186,2019-11-06 21:20:41.443,2019-11-06 21:22:06.374,frukt coffee roasters,Frukt Coffee Roasters,https://fruktcoffeeroasters.com/,
