"id","name","country_id","created_at","updated_at"
2,Alberta,2,2017-09-19 03:23:14.187,2017-09-19 03:23:14.187
3,Nyeri,3,2017-09-19 03:24:37.836,2017-09-19 03:24:37.836
4,Ontario,2,2017-09-20 01:28:47.448,2017-09-20 01:28:47.448
5,Huehuetenango,4,2017-09-20 01:47:05.171,2017-09-20 01:47:05.171
6,Quebec,2,2017-09-20 01:56:06.026,2017-09-20 01:56:06.026
7,British Columbia,2,2017-09-21 14:09:06.670,2017-09-21 14:09:06.670
8,Catalonia,9,2017-09-22 01:18:39.563,2017-09-22 01:18:39.563
9,Tuscany,10,2017-09-22 01:20:04.759,2017-09-22 01:20:04.759
10,Ngozi,12,2017-09-22 23:07:04.948,2017-09-22 23:07:04.948
11,Huila,14,2017-09-22 23:42:56.111,2017-09-22 23:42:56.111
12,Illinois,15,2017-09-22 23:46:24.308,2017-09-22 23:46:24.308
15,North Carolina,15,2017-09-23 00:06:16.006,2017-09-23 00:06:16.006
17,Usulután,19,2017-09-23 00:20:01.630,2017-09-23 00:20:01.630
20,Nairobi Area,3,2017-09-23 00:30:02.154,2017-09-23 00:30:02.154
21,Oregon,15,2017-09-23 09:44:45.920,2017-09-23 09:44:45.920
22,Kayanza,12,2017-09-28 20:31:51.837,2017-09-28 20:31:51.837
23,Nakuru,3,2017-09-28 20:35:58.293,2017-09-28 20:35:58.293
24,Chiapas,18,2017-10-12 23:54:35.590,2017-10-12 23:54:35.590
25,Sacatepéquez,4,2017-10-13 14:42:10.696,2017-10-13 14:42:10.696
26,New York,15,2017-10-13 15:18:13.391,2017-10-13 15:18:13.391
27,Oromiya,11,2017-10-13 15:26:32.250,2017-10-13 15:26:32.250
28,Pichincha,20,2017-11-08 16:45:46.677,2017-11-08 16:45:46.677
29,Alajuela,13,2017-11-10 03:18:05.467,2017-11-10 03:18:05.467
30,Minas Gerais,16,2017-11-10 03:32:10.155,2017-11-10 03:32:10.155
31,Chimaltenango,4,2017-11-10 04:00:57.572,2017-11-10 04:00:57.572
32,Nova Scotia,2,2017-11-15 02:19:07.934,2017-11-15 02:19:07.934
33,Oaxaca,18,2017-11-15 02:46:30.508,2017-11-15 02:46:30.508
34,Kiambu,3,2017-11-15 21:57:13.829,2017-11-15 21:57:13.829
35,Zacapa,4,2017-11-15 22:05:17.855,2017-11-15 22:05:17.855
36,Santa Barbara,22,2017-11-15 22:27:50.940,2017-11-15 22:27:50.940
37,Nueva Segovia,17,2017-11-15 22:34:06.104,2017-11-15 22:34:06.104
38,Unknown,17,2017-11-15 22:59:44.814,2017-11-15 22:59:44.814
39,San Jose,13,2017-11-16 23:47:58.882,2017-11-16 23:47:58.882
40,Sandia,23,2017-11-17 01:26:30.531,2017-11-17 01:26:30.531
41,Santa Ana,19,2017-11-17 01:34:18.976,2017-11-17 01:34:18.976
42,Cauca,14,2017-11-17 01:53:13.453,2017-11-17 01:53:13.453
43,Snnpr,11,2017-11-23 18:34:22.176,2017-11-23 18:34:22.176
44,Quindio,14,2017-11-23 20:06:03.241,2017-11-23 20:06:03.241
45,Amhara,11,2017-11-25 20:24:11.485,2017-11-25 20:24:11.485
46,Embu,3,2017-11-25 22:02:59.552,2017-11-25 22:02:59.552
47,Manitoba,2,2017-11-30 23:32:35.121,2017-11-30 23:32:35.121
48,Caldas,14,2017-12-01 02:26:27.008,2017-12-01 02:26:27.008
49,Sacatepequez,4,2017-12-01 02:34:41.082,2017-12-01 02:34:41.082
50,Cajamarca,23,2017-12-01 02:39:46.215,2017-12-01 02:39:46.215
51,Kochere,11,2017-12-01 23:32:51.401,2017-12-01 23:32:51.401
52,Sao Paulo,16,2017-12-02 00:09:33.956,2017-12-02 00:09:33.956
53,Yirgacheffe,11,2017-12-23 01:03:35.039,2017-12-23 01:03:35.039
55,Jinotega,17,2017-12-23 01:30:30.944,2017-12-23 01:30:30.944
56,Antioquia,14,2017-12-23 01:53:12.731,2017-12-23 01:53:12.731
57,Gedeb,11,2017-12-23 01:59:42.652,2017-12-23 01:59:42.652
58,Abaya,11,2017-12-31 19:10:57.844,2017-12-31 19:10:57.844
59,Matagalpa,17,2017-12-31 19:43:59.126,2017-12-31 19:43:59.126
60,Valle Central,13,2017-12-31 20:15:08.984,2017-12-31 20:15:08.984
61,El Progreso,4,2018-01-01 23:32:42.147,2018-01-01 23:32:42.147
62,California,15,2018-01-04 23:17:33.767,2018-01-04 23:17:33.767
63,Illubabor,11,2018-01-09 02:53:19.964,2018-01-09 02:53:19.964
64,Vermont,15,2018-04-15 23:36:11.005,2018-04-15 23:36:11.005
65,"Nyamsheke District, Western Province",24,2018-05-17 18:39:25.838,2018-05-17 18:39:25.838
