"id","name","color","created_at","updated_at","ancestry","ancestry_depth"
123,Lemongrass,#F44090,2018-10-11 01:35:45.207,2018-10-11 01:35:45.207,"105/107",2
197,Grape,#884AAE,2018-10-11 01:35:45.931,2020-05-07 18:17:45.587,"1",1
201,Melon,#94A26C,2018-10-11 01:35:45.954,2020-05-07 18:18:00.186,"1",1
124,Orange blossom,#F44090,2018-10-11 01:35:45.210,2018-10-11 01:35:45.210,"105/107",2
184,Stone fruit,#D21441,2018-10-11 01:35:45.883,2020-05-07 18:19:13.176,"1",1
156,Grain & Cereal,#C3391E,2018-10-11 01:35:45.544,2020-05-07 18:19:50.893,,0
144,Savory,#EA3109,2018-10-11 01:35:45.442,2020-05-07 18:20:47.671,,0
125,Magnolia,#F44090,2018-10-11 01:35:45.217,2018-10-11 01:35:45.217,"105/107",2
68,Roasted,#B53E27,2017-09-19 00:17:25.569,2018-09-19 19:19:20.344,,0
79,Spice,#D68203,2017-09-19 00:17:25.617,2020-05-07 18:21:01.595,,0
126,Lavender,#F44090,2018-10-11 01:35:45.220,2018-10-11 01:35:45.220,"105/107",2
127,Hibiscus,#F44090,2018-10-11 01:35:45.226,2018-10-11 01:35:45.226,"105/107",2
37,Earthy / Herb,#2C9E46,2017-09-19 00:17:25.433,2018-10-11 01:35:45.230,,0
129,Earthy,#26B947,2018-10-11 01:35:45.239,2020-05-07 18:21:21.908,"37",1
145,Savory,#FE4A0F,2018-10-11 01:35:45.445,2018-10-11 01:35:45.445,"144",1
146,Tomato,#FE4A0F,2018-10-11 01:35:45.465,2018-10-11 01:35:45.465,"144/145",2
147,Sundried tomato,#FE4A0F,2018-10-11 01:35:45.469,2018-10-11 01:35:45.469,"144/145",2
148,Soy sauce,#FE4A0F,2018-10-11 01:35:45.471,2018-10-11 01:35:45.471,"144/145",2
149,Leathery,#FE4A0F,2018-10-11 01:35:45.474,2018-10-11 01:35:45.474,"144/145",2
128,Herb,#388660,2018-10-11 01:35:45.237,2020-05-07 18:21:50.811,"37",1
150,Curry,#953A77,2018-10-11 01:35:45.515,2018-10-11 01:35:45.515,"79/82",2
151,Ginger,#953A77,2018-10-11 01:35:45.518,2018-10-11 01:35:45.518,"79/82",2
152,Coriander,#953A77,2018-10-11 01:35:45.520,2018-10-11 01:35:45.520,"79/82",2
153,White pepper,#953A77,2018-10-11 01:35:45.522,2018-10-11 01:35:45.522,"79/82",2
154,Carbon,#B53E27,2018-10-11 01:35:45.529,2018-10-11 01:35:45.529,"68/71",2
155,Toast,#B53E27,2018-10-11 01:35:45.532,2018-10-11 01:35:45.532,"68/71",2
157,Fresh bread,#B53E27,2018-10-11 01:35:45.557,2018-10-11 01:35:45.557,"156/76",2
158,Barley,#B53E27,2018-10-11 01:35:45.559,2018-10-11 01:35:45.559,"156/76",2
159,Wheat,#B53E27,2018-10-11 01:35:45.562,2018-10-11 01:35:45.562,"156/76",2
160,Rye,#B53E27,2018-10-11 01:35:45.564,2018-10-11 01:35:45.564,"156/76",2
161,Graham cracker,#B53E27,2018-10-11 01:35:45.566,2018-10-11 01:35:45.566,"156/76",2
162,Granola,#B53E27,2018-10-11 01:35:45.569,2018-10-11 01:35:45.569,"156/76",2
163,Sweet bread pastry,#B53E27,2018-10-11 01:35:45.571,2018-10-11 01:35:45.571,"156/76",2
87,Nut & Cocoa,#A96B4B,2017-09-19 00:17:25.646,2018-10-11 01:35:45.579,,0
167,Cacao nibs,#A96B4B,2018-10-11 01:35:45.598,2018-10-11 01:35:45.598,"87/92",2
168,Bakers chocolate,#A96B4B,2018-10-11 01:35:45.600,2018-10-11 01:35:45.600,"87/92",2
169,Bittersweet chocolate,#A96B4B,2018-10-11 01:35:45.602,2018-10-11 01:35:45.602,"87/92",2
170,Cocoa powder,#A96B4B,2018-10-11 01:35:45.605,2018-10-11 01:35:45.605,"87/92",2
1,Fruit,#D0021B,2017-09-19 00:17:25.268,2018-10-11 01:35:45.856,,0
95,Sweet,#E65832,2017-09-19 00:17:25.688,2017-09-19 00:17:25.688,,0
171,Sweet & Sugary,#D28269,2018-10-11 01:35:45.609,2020-05-07 18:22:04.720,"95",1
49,Other,#6C6C6C,2017-09-19 00:17:25.488,2020-05-07 18:22:20.056,,0
198,White grape,#884AAE,2018-10-11 01:35:45.946,2020-05-07 18:29:49.695,"1/197",2
199,Green grape,#884AAE,2018-10-11 01:35:45.948,2020-05-07 18:29:49.702,"1/197",2
200,Concord grape,#884AAE,2018-10-11 01:35:45.951,2020-05-07 18:29:49.708,"1/197",2
202,Watermelon,#94A26C,2018-10-11 01:35:45.957,2020-05-07 18:29:49.724,"1/201",2
185,Nectarine,#D21441,2018-10-11 01:35:45.898,2020-05-07 18:29:49.741,"1/184",2
186,Apricot,#D21441,2018-10-11 01:35:45.900,2020-05-07 18:29:49.746,"1/184",2
187,Plum,#D21441,2018-10-11 01:35:45.902,2020-05-07 18:29:49.752,"1/184",2
188,Black cherry,#D21441,2018-10-11 01:35:45.905,2020-05-07 18:29:49.757,"1/184",2
138,Mushroom,#26B947,2018-10-11 01:35:45.405,2020-05-07 18:29:49.774,"37/129",2
141,Cedar,#26B947,2018-10-11 01:35:45.435,2020-05-07 18:29:49.779,"37/129",2
142,Fresh wood,#26B947,2018-10-11 01:35:45.438,2020-05-07 18:29:49.784,"37/129",2
143,Soil,#26B947,2018-10-11 01:35:45.440,2020-05-07 18:29:49.789,"37/129",2
132,Green tea,#388660,2018-10-11 01:35:45.382,2020-05-07 18:29:49.805,"37/128",2
133,Mint,#388660,2018-10-11 01:35:45.389,2020-05-07 18:29:49.810,"37/128",2
134,Sage,#388660,2018-10-11 01:35:45.392,2020-05-07 18:29:49.815,"37/128",2
135,Dill,#388660,2018-10-11 01:35:45.394,2020-05-07 18:29:49.820,"37/128",2
136,Grassy,#388660,2018-10-11 01:35:45.396,2020-05-07 18:29:49.826,"37/128",2
122,Maple syrup,#D28269,2018-04-15 00:43:35.640,2020-05-07 18:29:49.848,"95/171",2
172,Nougat,#D28269,2018-10-11 01:35:45.703,2020-05-07 18:29:49.853,"95/171",2
173,Butter,#D28269,2018-10-11 01:35:45.705,2020-05-07 18:29:49.859,"95/171",2
174,Cream,#D28269,2018-10-11 01:35:45.708,2020-05-07 18:29:49.864,"95/171",2
175,Marshmallow,#D28269,2018-10-11 01:35:45.710,2020-05-07 18:29:49.869,"95/171",2
176,Sugar cane,#D28269,2018-10-11 01:35:45.713,2020-05-07 18:29:49.874,"95/171",2
177,Cola,#D28269,2018-10-11 01:35:45.715,2020-05-07 18:29:49.879,"95/171",2
181,Cranberry,#2A4EAD,2018-10-11 01:35:45.874,2020-05-07 18:29:49.911,"1/2",2
182,Red currant,#2A4EAD,2018-10-11 01:35:45.877,2020-05-07 18:29:49.916,"1/2",2
183,Black currant,#2A4EAD,2018-10-11 01:35:45.879,2020-05-07 18:29:49.921,"1/2",2
189,Lychee,#F7A811,2018-10-11 01:35:45.911,2020-05-07 18:29:49.953,"1/10",2
190,Star fruit,#F7A811,2018-10-11 01:35:45.913,2020-05-07 18:29:49.959,"1/10",2
191,Tamarind,#F7A811,2018-10-11 01:35:45.915,2020-05-07 18:29:49.964,"1/10",2
192,Passion fruit,#F7A811,2018-10-11 01:35:45.918,2020-05-07 18:29:49.969,"1/10",2
193,Mango,#F7A811,2018-10-11 01:35:45.920,2020-05-07 18:29:49.974,"1/10",2
194,Papaya,#F7A811,2018-10-11 01:35:45.923,2020-05-07 18:29:49.979,"1/10",2
195,Kiwi,#F7A811,2018-10-11 01:35:45.925,2020-05-07 18:29:49.986,"1/10",2
196,Banana,#F7A811,2018-10-11 01:35:45.927,2020-05-07 18:29:49.991,"1/10",2
178,Golden raisin,#E15B5B,2018-10-11 01:35:45.860,2020-05-07 18:29:50.048,"1/7",2
179,Dried fig,#E15B5B,2018-10-11 01:35:45.862,2020-05-07 18:29:50.054,"1/7",2
180,Dried dates,#E15B5B,2018-10-11 01:35:45.864,2020-05-07 18:29:50.059,"1/7",2
130,Bergamot,#209B51,2018-10-11 01:35:45.274,2020-05-07 18:29:50.076,"37/40",2
131,Hops,#209B51,2018-10-11 01:35:45.276,2020-05-07 18:29:50.081,"37/40",2
137,Sweet pea,#209B51,2018-10-11 01:35:45.403,2020-05-07 18:29:50.086,"37/40",2
139,Squash,#209B51,2018-10-11 01:35:45.408,2020-05-07 18:29:50.091,"37/40",2
140,Green pepper,#209B51,2018-10-11 01:35:45.410,2020-05-07 18:29:50.096,"37/40",2
164,Pecan,#8A441F,2018-10-11 01:35:45.591,2020-05-07 18:29:50.192,"87/88",2
165,Cashew,#8A441F,2018-10-11 01:35:45.593,2020-05-07 18:29:50.198,"87/88",2
166,Walnut,#8A441F,2018-10-11 01:35:45.595,2020-05-07 18:29:50.203,"87/88",2
2,Berry,#2A4EAD,2017-09-19 00:17:25.273,2020-05-07 18:17:05.878,"1",1
10,Tropical fruit,#F7A811,2017-09-19 00:17:25.305,2020-05-07 18:18:41.304,"1",1
7,Dried fruit,#E15B5B,2017-09-19 00:17:25.295,2020-05-07 18:18:55.825,"1",1
40,Vegetal,#209B51,2017-09-19 00:17:25.444,2020-05-07 18:21:35.027,"37",1
33,Wine,#884AAE,2017-09-19 00:17:25.418,2020-05-07 18:29:49.713,"1/197",2
15,Red grape,#884AAE,2017-09-19 00:17:25.340,2020-05-07 18:29:49.718,"1/197",2
203,Honeydew,#94A26C,2018-10-11 01:35:45.959,2020-05-07 18:29:49.729,"1/201",2
204,Cantaloupe,#94A26C,2018-10-11 01:35:45.961,2020-05-07 18:29:49.734,"1/201",2
17,Peach,#D21441,2017-09-19 00:17:25.350,2020-05-07 18:29:49.762,"1/184",2
105,Floral,#F44090,2017-09-19 00:17:25.726,2018-09-19 19:15:20.352,,0
12,Cherry,#D21441,2017-09-19 00:17:25.312,2020-05-07 18:29:49.767,"1/184",2
70,Tobacco,#26B947,2017-09-19 00:17:25.582,2020-05-07 18:29:49.794,"37/129",2
47,Herb-like,#388660,2017-09-19 00:17:25.481,2020-05-07 18:29:49.831,"37/128",2
46,Hay / Straw,#388660,2017-09-19 00:17:25.477,2020-05-07 18:29:49.836,"37/128",2
3,Blackberry,#2A4EAD,2017-09-19 00:17:25.277,2020-05-07 18:29:49.926,"1/2",2
4,Raspberry,#2A4EAD,2017-09-19 00:17:25.280,2020-05-07 18:29:49.931,"1/2",2
5,Blueberry,#2A4EAD,2017-09-19 00:17:25.285,2020-05-07 18:29:49.936,"1/2",2
6,Strawberry,#2A4EAD,2017-09-19 00:17:25.291,2020-05-07 18:29:49.941,"1/2",2
13,Pomegranate,#2A4EAD,2017-09-19 00:17:25.331,2020-05-07 18:29:49.946,"1/2",2
11,Coconut,#F7A811,2017-09-19 00:17:25.309,2020-05-07 18:29:50.011,"1/10",2
14,Pineapple,#F7A811,2017-09-19 00:17:25.335,2020-05-07 18:29:50.041,"1/10",2
8,Raisin,#E15B5B,2017-09-19 00:17:25.298,2020-05-07 18:29:50.064,"1/7",2
9,Prune,#E15B5B,2017-09-19 00:17:25.302,2020-05-07 18:29:50.069,"1/7",2
42,Snow pea,#209B51,2017-09-19 00:17:25.455,2020-05-07 18:29:50.101,"37/40",2
43,Fresh,#209B51,2017-09-19 00:17:25.459,2020-05-07 18:29:50.106,"37/40",2
44,Leafy greens,#209B51,2017-09-19 00:17:25.470,2020-05-07 18:29:50.111,"37/40",2
45,Vegetative,#209B51,2017-09-19 00:17:25.473,2020-05-07 18:29:50.116,"37/40",2
38,Olive,#209B51,2017-09-19 00:17:25.436,2020-05-07 18:29:50.122,"37/40",2
20,Grapefruit,#F3BE00,2017-09-19 00:17:25.368,2020-05-07 18:29:50.149,"1/19",2
21,Orange,#F3BE00,2017-09-19 00:17:25.372,2020-05-07 18:29:50.155,"1/19",2
23,Lime,#F3BE00,2017-09-19 00:17:25.379,2020-05-07 18:29:50.160,"1/19",2
52,Cardboard,#6C6C6C,2017-09-19 00:17:25.500,2020-05-07 18:29:50.299,"49/50",2
64,Medicinal,#6C6C6C,2017-09-19 00:17:25.549,2020-05-07 18:29:50.339,"49/61",2
65,Petroleum,#6C6C6C,2017-09-19 00:17:25.553,2020-05-07 18:29:50.344,"49/61",2
67,Rubber,#6C6C6C,2017-09-19 00:17:25.565,2020-05-07 18:29:50.349,"49/61",2
63,Salty,#FE4A0F,2017-09-19 00:17:25.545,2018-10-11 01:35:45.462,"144/145",2
59,Meat-like,#FE4A0F,2017-09-19 00:17:25.527,2018-10-11 01:35:45.482,"144/145",2
71,Roast,#B53E27,2017-09-19 00:17:25.585,2018-10-11 01:35:45.527,"68",1
74,Smokey,#B53E27,2017-09-19 00:17:25.599,2018-10-11 01:35:45.535,"68/71",2
75,Burnt sugar,#B53E27,2017-09-19 00:17:25.602,2018-10-11 01:35:45.539,"68/71",2
205,Apple / Pear,#71B700,2018-10-11 01:35:45.965,2020-05-07 18:17:24.066,"1",1
19,Citrus,#F3BE00,2017-09-19 00:17:25.365,2020-05-07 18:18:14.443,"1",1
