"id","name","state_or_province_id","created_at","updated_at"
1,Planadas,71,2018-08-06 23:28:41.311,2018-08-06 23:28:41.311
2,Uraga,73,2018-08-06 23:59:06.416,2018-08-06 23:59:06.416
3,Dipilto,77,2018-08-21 17:10:05.374,2018-08-21 17:10:05.374
4,Ibiraci,30,2018-08-23 18:35:09.417,2018-08-23 18:35:09.417
5,Montanhas,79,2018-08-28 15:11:57.130,2018-08-28 15:11:57.130
6,La Democracia,,2018-08-30 18:54:26.839,2018-08-30 18:54:26.839
7,La Democracia,5,2018-08-30 19:00:25.148,2018-08-30 19:00:25.148
8,San Carlos,56,2018-08-30 19:28:15.400,2018-08-30 19:28:15.400
9,Conceição das Pedras,83,2018-09-03 22:58:35.085,2018-09-03 22:58:35.085
10,San Lucas Tolimán,85,2018-09-04 14:52:05.489,2018-09-04 14:52:05.489
11,La Florida,,2018-09-06 14:43:05.634,2018-09-06 14:43:05.634
12,La Florida,72,2018-09-07 01:00:37.202,2018-09-07 01:00:37.202
13,Ataco,71,2018-09-10 17:16:13.249,2018-09-10 17:16:13.249
14,Pérez Zeledón,69,2018-09-13 02:12:12.026,2018-09-13 02:12:12.026
15,Santiago de Puriscal,69,2018-09-13 02:17:17.011,2018-09-13 02:17:17.011
16,Metepán,,2018-09-13 15:49:39.191,2018-09-13 15:49:39.191
17,Chalatenango,,2018-09-13 15:55:15.511,2018-09-13 15:55:15.511
18,Lake Atitlán,89,2018-09-15 17:00:03.625,2018-09-15 17:00:03.625
19,Sipacapa,90,2018-09-15 17:18:56.639,2018-09-15 17:18:56.639
20,La Labor,91,2018-09-15 17:48:20.611,2018-09-15 17:48:20.611
21,Aranjuez,59,2018-09-16 00:30:09.967,2018-09-16 00:30:09.967
22,Antigua,,2018-09-16 23:32:20.957,2018-09-16 23:32:20.957
23,Fraijanes,,2018-09-20 02:26:27.106,2018-09-20 02:26:27.106
24,Tarrazu,69,2018-09-20 23:14:39.774,2018-09-20 23:14:39.774
25,Naranjo,29,2018-09-21 00:05:14.105,2018-09-21 00:05:14.105
26,Limmu,94,2018-09-25 00:51:56.014,2018-09-25 00:51:56.014
27,Petatán,5,2018-09-25 01:17:58.837,2018-09-25 01:17:58.837
28,El Triunfo Biosphere Reserve,24,2018-09-26 02:02:59.612,2018-09-26 02:02:59.612
29,Ywangan,102,2018-10-04 02:14:06.704,2018-10-04 02:14:06.704
30,Acevedo,11,2018-10-05 01:28:05.819,2018-10-05 01:28:05.819
31,Pochuta,31,2018-10-07 03:12:19.381,2018-10-07 03:12:19.381
32,San Agustín,11,2018-10-07 04:02:33.751,2018-10-07 04:02:33.751
33,Marcala,103,2018-10-07 04:13:05.824,2018-10-07 04:13:05.824
34,Perdizes,30,2018-10-07 04:33:26.141,2018-10-07 04:33:26.141
35,San Ignacio,50,2018-10-07 04:35:38.078,2018-10-07 04:35:38.078
36,Chinchipe,105,2018-10-07 04:38:40.579,2018-10-07 04:38:40.579
37,San Pedro de Copán,107,2018-10-10 14:01:56.238,2018-10-10 14:01:56.238
38,San Juan del Río Coco,108,2018-10-10 14:16:54.571,2018-10-10 14:16:54.571
39,Pueblo Nuevo,109,2018-10-10 14:26:30.672,2018-10-10 14:26:30.672
40,Concepción de Ataco,112,2018-10-13 03:01:42.855,2018-10-13 03:01:42.855
41,Buesaco,72,2018-10-17 14:10:56.683,2018-10-17 14:10:56.683
42,Zipacón,67,2018-10-17 14:27:01.726,2018-10-17 14:27:01.726
43,San Martín Jilotepeque,31,2018-10-17 14:55:14.526,2018-10-17 14:55:14.526
44,La Palma,114,2018-10-17 15:03:33.777,2018-10-17 15:03:33.777
45,San Pedro Necta,5,2018-10-17 16:05:24.433,2018-10-17 16:05:24.433
46,Copán Ruinas,107,2018-10-17 17:18:43.201,2018-10-17 17:18:43.201
47,La Libertad,116,2018-10-20 20:47:07.640,2018-10-20 20:47:07.640
48,Consaca,72,2018-10-21 01:19:27.231,2018-10-21 01:19:27.231
49,Inza,42,2018-10-21 19:04:55.252,2018-10-21 19:04:55.252
50,Tierras Altas,119,2018-10-22 00:18:46.017,2018-10-22 00:18:46.017
51,Jardín,56,2018-10-22 00:40:06.494,2018-10-22 00:40:06.494
52,Santa Tecla,116,2018-10-24 17:06:39.958,2018-10-24 17:06:39.958
53,Pijao,120,2018-10-24 17:55:58.905,2018-10-24 17:55:58.905
54,San Juan,121,2018-10-24 18:03:14.826,2018-10-24 18:03:14.826
55,Concordia,56,2018-10-25 00:59:19.436,2018-10-25 00:59:19.436
56,San Pedro de Cartago,72,2018-10-25 01:52:55.054,2018-10-25 01:52:55.054
57,Pinlaung,102,2018-10-31 14:08:44.810,2018-10-31 14:08:44.810
58,San Luis de Grecia,29,2018-10-31 14:25:24.889,2018-10-31 14:25:24.889
59,Las Vegas,36,2018-10-31 15:23:14.108,2018-10-31 15:23:14.108
60,Tarqui,11,2018-10-31 15:35:02.730,2018-10-31 15:35:02.730
62,Sandona,72,2018-10-31 19:03:52.749,2018-10-31 19:03:52.749
63,Cuilco,5,2018-11-06 04:04:53.730,2018-11-06 04:04:53.730
64,Dota,69,2018-11-07 19:04:16.703,2018-11-07 19:04:16.703
65,Pedralva,30,2018-11-07 19:39:05.574,2018-11-07 19:39:05.574
66,Pueblo Nuevo Viñas,129,2018-11-07 21:16:32.970,2018-11-07 21:16:32.970
67,Simalungun Regency,130,2018-11-13 02:56:22.137,2018-11-13 02:56:22.137
68,Kiniezire,127,2018-11-13 04:10:55.371,2018-11-13 04:10:55.371
69,Santa Barbara,5,2018-11-17 15:07:12.656,2018-11-17 15:07:12.656
70,Ángel Albino Corzo,24,2018-11-18 21:17:12.215,2018-11-18 21:17:12.215
71,Belén Gualcho,91,2018-11-19 00:56:21.712,2018-11-19 00:56:21.712
72,Yirgacheffe,97,2018-11-21 22:28:37.205,2018-11-21 22:28:37.205
73,Sao Paulo,,2018-11-23 13:23:46.585,2018-11-23 13:23:46.585
75,Gitwe,135,2018-11-28 18:02:17.703,2018-11-28 18:02:17.703
76,Boquete District,119,2018-12-01 22:11:45.179,2018-12-01 22:11:45.179
77,San Pedro Sacatepéquez,,2018-12-04 01:13:58.253,2018-12-04 01:13:58.253
78,San Fernando,37,2018-12-05 14:52:55.514,2018-12-05 14:52:55.514
79,Léon Cortès,69,2018-12-08 18:46:02.278,2018-12-08 18:46:02.278
80,Mataquescuintla,136,2018-12-08 19:28:20.904,2018-12-08 19:28:20.904
81,Opataro,103,2018-12-09 01:10:10.488,2018-12-09 01:10:10.488
82,Pangoa,137,2018-12-10 22:30:50.643,2018-12-10 22:30:50.643
83,Karatina,3,2018-12-17 16:42:28.320,2018-12-17 16:42:28.320
84,Jalapa,37,2018-12-20 00:57:22.510,2018-12-20 00:57:22.510
85,Yanacachi,,2018-12-20 17:55:59.653,2018-12-20 17:55:59.653
86,Hambela,106,2018-12-22 21:37:41.796,2018-12-22 21:37:41.796
87,Rutsiro,140,2019-01-02 18:08:35.711,2019-01-02 18:08:35.711
88,Machado,30,2019-01-03 01:45:28.343,2019-01-03 01:45:28.343
89,Waghi Valley,142,2019-01-04 01:09:09.550,2019-01-04 01:09:09.550
