"id","name","label","species_id","created_at","updated_at","description"
1,Arusha,Arusha,1,2017-09-19 00:17:24.681,2017-09-19 00:17:24.681,
2,Bergendal,Bergendal,1,2017-09-19 00:17:24.687,2017-09-19 00:17:24.687,
4,Bourbon,Bourbon,1,2017-09-19 00:17:24.695,2017-09-19 00:17:24.695,
5,Brutte,Brutte,1,2017-09-19 00:17:24.698,2017-09-19 00:17:24.698,
6,Castillo,Castillo,1,2017-09-19 00:17:24.708,2017-09-19 00:17:24.708,
7,Catimor,Catimor,1,2017-09-19 00:17:24.712,2017-09-19 00:17:24.712,
8,Catuai,Catuai,1,2017-09-19 00:17:24.721,2017-09-19 00:17:24.721,
9,Caturra,Caturra,1,2017-09-19 00:17:24.725,2017-09-19 00:17:24.725,
210,Eugenioides,Eugenioides,3,2019-10-04 20:40:27.946,2019-11-05 18:27:55.066,
221,Red Pacamara,Red Pacamara,1,2019-11-08 19:25:59.389,2019-11-08 19:25:59.389,
19,Java,Java,1,2017-09-19 00:17:24.767,2017-09-19 00:17:24.767,
20,K7,K7,1,2017-09-19 00:17:24.771,2017-09-19 00:17:24.771,
22,Maragogipe,Maragogipe,1,2017-09-19 00:17:24.779,2017-09-19 00:17:24.779,
23,Mayaguez,Mayaguez,1,2017-09-19 00:17:24.783,2017-09-19 00:17:24.783,
24,Mocha,Mocha,1,2017-09-19 00:17:24.787,2017-09-19 00:17:24.787,
224,"74111","74111",1,2019-12-02 17:06:01.462,2019-12-02 17:06:01.462,
27,Pacamara,Pacamara,1,2017-09-19 00:17:24.799,2017-09-19 00:17:24.799,
31,Ruiru 11,Ruiru 11,1,2017-09-19 00:17:24.832,2017-09-19 00:17:24.832,
32,S795,S795,1,2017-09-19 00:17:24.836,2017-09-19 00:17:24.836,
33,Santos,Santos,1,2017-09-19 00:17:24.840,2017-09-19 00:17:24.840,
34,Sarchimor,Sarchimor,1,2017-09-19 00:17:24.843,2017-09-19 00:17:24.843,
35,Selection 9,Selection 9,1,2017-09-19 00:17:24.847,2017-09-19 00:17:24.847,
36,Sidikalang,Sidikalang,1,2017-09-19 00:17:24.851,2017-09-19 00:17:24.851,
40,Typica,Typica,1,2017-09-19 00:17:24.866,2017-09-19 00:17:24.866,
41,Uganda,Uganda,1,2017-09-19 00:17:24.877,2017-09-19 00:17:24.877,
227,Rasuna,Rasuna,1,2019-12-11 15:53:52.405,2019-12-11 15:53:52.405,
46,Unspecified,Unspecified,2,2017-09-19 00:17:24.897,2017-09-19 00:17:24.897,
3,Blue Mountain,Blue Mountain,1,2017-09-19 00:17:24.691,2017-09-24 02:27:21.972,
11,Harar,Harar,1,2017-09-19 00:17:24.737,2017-09-24 02:27:21.996,
12,Sidamo,Sidamo,1,2017-09-19 00:17:24.740,2017-09-24 02:27:21.999,
230,"1274","1274",1,2019-12-18 17:18:17.675,2019-12-18 17:18:17.675,
16,Guadeloupe Bonifieur,Guadeloupe Bonifieur,1,2017-09-19 00:17:24.756,2017-09-24 02:27:22.011,
17,Kona,Kona,1,2017-09-19 00:17:24.759,2017-09-24 02:27:22.015,
25,Mundo Novo,Mundo Novo,1,2017-09-19 00:17:24.791,2017-09-24 02:27:22.031,
28,Pacas,Pacas,1,2017-09-19 00:17:24.803,2017-09-24 02:27:22.037,
29,Pache Colis,Pache Colis,1,2017-09-19 00:17:24.806,2017-09-24 02:27:22.040,
39,Sulawesi Toraja Kalossi,Sulawesi Toraja Kalossi,1,2017-09-19 00:17:24.862,2017-09-24 02:27:22.060,
